,Antibiotic,Route,Combo,vtm_nm,vtm_id,vmp_nm,vmp_id,descr,England-adapted 2019 AWaRe category,UK-adapted 2024 AWaRe category
29,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg tablets,44456411000001100,tablet.oral,Access,Access
85,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg/50ml infusion bags,34226911000001109,solutioninfusion.intravenous,Access,Access
770,Amoxicillin,,False,Amoxicillin,774586009,Amoxicillin 500mg/5ml oral suspension sugar free,41941311000001106,suspension.oral,Access,Access
231,Ampicillin,,False,Ampicillin,774590006,Ampicillin 125mg/5ml oral suspension,41941411000001104,suspension.oral,Access,Access
200,Ampicillin,,False,Ampicillin,774590006,Ampicillin 250mg capsules,41941511000001100,capsule.oral,Access,Access
232,Ampicillin,,False,Ampicillin,774590006,Ampicillin 250mg/5ml oral suspension,41941611000001101,suspension.oral,Access,Access
202,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg capsules,41941711000001105,capsule.oral,Access,Access
266,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg powder for solution for injection vials,41941811000001102,solutioninjection.intramuscular,Access,Access
267,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg powder for solution for injection vials,41941811000001102,solutioninjection.intravenous,Access,Access
268,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg powder for solution for injection vials,41941811000001102,solutioninfusion.intravenous,Access,Access
269,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg powder for solution for injection vials,41941811000001102,solutioninjection.intraperitoneal,Access,Access
270,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg powder for solution for injection vials,41941811000001102,solutioninjection.intrapleural,Access,Access
271,Ampicillin,,False,Ampicillin,774590006,Ampicillin 500mg powder for solution for injection vials,41941811000001102,solutioninjection.intraarticular,Access,Access
709,Azithromycin,,False,Azithromycin,774722005,Azithromycin 15mg/g eye drops 0.25g unit dose preservative free,19373411000001100,solutiondrops.ophthalmic,Watch,Watch
228,Azithromycin,,False,Azithromycin,774722005,Azithromycin 200mg/5ml oral suspension,41941911000001107,suspension.oral,Watch,Watch
724,Azithromycin,,False,Azithromycin,774722005,Azithromycin 200mg/5ml oral suspension sugar free,29668711000001101,suspension.oral,Watch,Watch
227,Azithromycin,,False,Azithromycin,774722005,Azithromycin 250mg capsules,41942011000001100,capsule.oral,Watch,Watch
549,Azithromycin,,False,Azithromycin,774722005,Azithromycin 250mg tablets,11034311000001100,tablet.oral,Watch,Watch
149,Azithromycin,,False,Azithromycin,774722005,Azithromycin 500mg powder for solution for infusion vials,41942111000001104,solutioninfusion.intravenous,Watch,Watch
226,Azithromycin,,False,Azithromycin,774722005,Azithromycin 500mg tablets,39733511000001103,tablet.oral,Watch,Watch
410,Aztreonam,,False,Aztreonam,774725007,Aztreonam 1g powder for solution for injection vials,41759411000001107,solutioninjection.intravenous,Reserve,Reserve
411,Aztreonam,,False,Aztreonam,774725007,Aztreonam 1g powder for solution for injection vials,41759411000001107,solutioninfusion.intravenous,Reserve,Reserve
412,Aztreonam,,False,Aztreonam,774725007,Aztreonam 1g powder for solution for injection vials,41759411000001107,solutioninjection.intramuscular-deep,Reserve,Reserve
413,Aztreonam,,False,Aztreonam,774725007,Aztreonam 2g powder for solution for injection vials,41759511000001106,solutioninjection.intravenous,Reserve,Reserve
414,Aztreonam,,False,Aztreonam,774725007,Aztreonam 2g powder for solution for injection vials,41759511000001106,solutioninfusion.intravenous,Reserve,Reserve
415,Aztreonam,,False,Aztreonam,774725007,Aztreonam 2g powder for solution for injection vials,41759511000001106,solutioninjection.intramuscular-deep,Reserve,Reserve
407,Aztreonam,,False,Aztreonam,774725007,Aztreonam 500mg powder for solution for injection vials,41759611000001105,solutioninjection.intravenous,Reserve,Reserve
408,Aztreonam,,False,Aztreonam,774725007,Aztreonam 500mg powder for solution for injection vials,41759611000001105,solutioninfusion.intravenous,Reserve,Reserve
409,Aztreonam,,False,Aztreonam,774725007,Aztreonam 500mg powder for solution for injection vials,41759611000001105,solutioninjection.intramuscular-deep,Reserve,Reserve
143,Aztreonam,,False,Aztreonam,774725007,Aztreonam 75mg powder and solvent for nebuliser solution vials,17463011000001100,solutionnebuliser.inhalation,Reserve,Reserve
702,Aztreonam,,False,Aztreonam,774725007,Aztreonam 75mg powder and solvent for nebuliser solution vials with device,17463411000001109,solutionnebuliser.inhalation,Reserve,Reserve
158,Benzathine benzylpenicillin,,False,Benzathine benzylpenicillin,1234764000,Benzathine benzylpenicillin 1.2million unit powder and solvent for suspension for injection vials,10153111000001102,suspensioninjection.intramuscular-deep,Access,Access
42,Benzathine benzylpenicillin,,False,Benzathine benzylpenicillin,1234764000,Benzathine benzylpenicillin 1.2million unit powder for suspension for injection vials,42683111000001104,suspensioninjection.intramuscular-deep,Access,Access
159,Benzathine benzylpenicillin,,False,Benzathine benzylpenicillin,1234764000,Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials,10153211000001108,suspensioninjection.intramuscular-deep,Access,Access
33,Benzathine benzylpenicillin,,False,Benzathine benzylpenicillin,1234764000,Benzathine benzylpenicillin 2.4million unit powder for suspension for injection vials,44168511000001109,suspensioninjection.intramuscular-deep,Access,Access
160,Benzathine benzylpenicillin,,False,Benzathine benzylpenicillin,1234764000,"Benzathine benzylpenicillin 600,000unit powder and solvent for suspension for injection vials",10150911000001107,suspensioninjection.intramuscular-deep,Access,Access
124,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin 0.15% eye drops,21657211000001109,solutiondrops.ophthalmic,Access,Access
118,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin 0.3% eye drops,22085211000001101,solutiondrops.ophthalmic,Access,Access
125,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin 0.3% eye drops preservative free,21658111000001102,solutiondrops.ophthalmic,Access,Access
126,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin 0.6% eye drops,21658811000001109,solutiondrops.ophthalmic,Access,Access
127,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin 6% eye drops,21659511000001100,solutiondrops.ophthalmic,Access,Access
383,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 1.2g powder for solution for injection vials,41942211000001105,solutioninjection.intravenous,Access,Access
384,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 1.2g powder for solution for injection vials,41942211000001105,solutioninfusion.intravenous,Access,Access
115,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 1.2g/50ml infusion bags,22097311000001100,solutioninfusion.intravenous,Access,Access
347,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 600mg powder for solution for injection vials,41942311000001102,solutioninjection.intramuscular,Access,Access
348,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 600mg powder for solution for injection vials,41942311000001102,solutioninjection.intravenous,Access,Access
349,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 600mg powder for solution for injection vials,41942311000001102,solutioninfusion.intravenous,Access,Access
119,Benzylpenicillin,,False,Benzylpenicillin,774826003,Benzylpenicillin sodium 600mg/50ml infusion bags,22085911000001105,solutioninfusion.intravenous,Access,Access
246,Cefaclor,,False,Cefaclor,775086009,Cefaclor 125mg/5ml oral suspension,41942511000001108,suspension.oral,Watch,Watch
243,Cefaclor,,False,Cefaclor,775086009,Cefaclor 125mg/5ml oral suspension sugar free,36134011000001105,suspension.oral,Watch,Watch
216,Cefaclor,,False,Cefaclor,775086009,Cefaclor 250mg capsules,39735011000001107,capsule.oral,Watch,Watch
245,Cefaclor,,False,Cefaclor,775086009,Cefaclor 250mg/5ml oral suspension,41942611000001107,suspension.oral,Watch,Watch
244,Cefaclor,,False,Cefaclor,775086009,Cefaclor 250mg/5ml oral suspension sugar free,36134111000001106,suspension.oral,Watch,Watch
234,Cefaclor,,False,Cefaclor,775086009,Cefaclor 375mg modified-release tablets,36134211000001100,tabletmodified-release.oral,Watch,Watch
223,Cefaclor,,False,Cefaclor,775086009,Cefaclor 500mg capsules,39735111000001108,capsule.oral,Watch,Watch
237,Cefadroxil,,False,Cefadroxil,775087000,Cefadroxil 125mg/5ml oral suspension,41942711000001103,suspension.oral,Watch,Access
238,Cefadroxil,,False,Cefadroxil,775087000,Cefadroxil 250mg/5ml oral suspension,41942811000001106,suspension.oral,Watch,Access
236,Cefadroxil,,False,Cefadroxil,775087000,Cefadroxil 500mg capsules,39735211000001102,capsule.oral,Watch,Access
239,Cefadroxil,,False,Cefadroxil,775087000,Cefadroxil 500mg/5ml oral suspension,41942911000001101,suspension.oral,Watch,Access
211,Cefalexin,,False,Cefalexin,775088005,Cefalexin 125mg/5ml oral suspension,41943011000001109,suspension.oral,Watch,Access
501,Cefalexin,,False,Cefalexin,775088005,Cefalexin 125mg/5ml oral suspension sugar free,4865011000001104,suspension.oral,Watch,Access
205,Cefalexin,,False,Cefalexin,775088005,Cefalexin 250mg capsules,39735311000001105,capsule.oral,Watch,Access
214,Cefalexin,,False,Cefalexin,775088005,Cefalexin 250mg tablets,39684111000001105,tablet.oral,Watch,Access
203,Cefalexin,,False,Cefalexin,775088005,Cefalexin 250mg/5ml oral suspension,41943111000001105,suspension.oral,Watch,Access
468,Cefalexin,,False,Cefalexin,775088005,Cefalexin 250mg/5ml oral suspension sugar free,4515811000001108,suspension.oral,Watch,Access
213,Cefalexin,,False,Cefalexin,775088005,Cefalexin 500mg capsules,39694811000001102,capsule.oral,Watch,Access
221,Cefalexin,,False,Cefalexin,775088005,Cefalexin 500mg tablets,39735911000001106,tablet.oral,Watch,Access
321,Cefalexin,,False,Cefalexin,775088005,Cefalexin 500mg/5ml oral suspension,36134311000001108,suspension.oral,Watch,Access
459,Cefamandole,,False,Cefamandole,775090006,Cefamandole 1g powder for solution for injection vials,4457111000001107,solutioninjection.intravenous,Watch,Watch
460,Cefamandole,,False,Cefamandole,775090006,Cefamandole 1g powder for solution for injection vials,4457111000001107,solutioninfusion.intravenous,Watch,Watch
461,Cefamandole,,False,Cefamandole,775090006,Cefamandole 1g powder for solution for injection vials,4457111000001107,solutioninjection.intramuscular-deep,Watch,Watch
509,Cefazolin,,False,Cefazolin,775092003,Cefazolin 1g powder for solution for injection vials,41872611000001103,solutioninjection.intramuscular,Watch,Access
510,Cefazolin,,False,Cefazolin,775092003,Cefazolin 1g powder for solution for injection vials,41872611000001103,solutioninjection.intravenous,Watch,Access
511,Cefazolin,,False,Cefazolin,775092003,Cefazolin 1g powder for solution for injection vials,41872611000001103,solutioninfusion.intravenous,Watch,Access
745,Cefazolin,,False,Cefazolin,775092003,Cefazolin 2g powder for solution for injection vials,33631211000001106,solutioninjection.intravenous,Watch,Access
746,Cefazolin,,False,Cefazolin,775092003,Cefazolin 2g powder for solution for injection vials,33631211000001106,solutioninfusion.intravenous,Watch,Access
516,Cefazolin,,False,Cefazolin,775092003,Cefazolin 500mg powder for solution for injection vials,41872711000001107,solutioninjection.intramuscular,Watch,Access
517,Cefazolin,,False,Cefazolin,775092003,Cefazolin 500mg powder for solution for injection vials,41872711000001107,solutioninjection.intravenous,Watch,Access
518,Cefazolin,,False,Cefazolin,775092003,Cefazolin 500mg powder for solution for injection vials,41872711000001107,solutioninfusion.intravenous,Watch,Access
761,Cefepime,,False,Cefepime,775095001,Cefepime 1g powder for solution for injection vials,36458411000001105,solutioninjection.intramuscular,Watch,Watch
762,Cefepime,,False,Cefepime,775095001,Cefepime 1g powder for solution for injection vials,36458411000001105,solutioninjection.intravenous,Watch,Watch
763,Cefepime,,False,Cefepime,775095001,Cefepime 1g powder for solution for injection vials,36458411000001105,solutioninfusion.intravenous,Watch,Watch
764,Cefepime,,False,Cefepime,775095001,Cefepime 2g powder for solution for injection vials,36458511000001109,solutioninjection.intramuscular,Watch,Watch
765,Cefepime,,False,Cefepime,775095001,Cefepime 2g powder for solution for injection vials,36458511000001109,solutioninjection.intravenous,Watch,Watch
766,Cefepime,,False,Cefepime,775095001,Cefepime 2g powder for solution for injection vials,36458511000001109,solutioninfusion.intravenous,Watch,Watch
54,Cefiderocol,,False,Cefiderocol,830205006,Cefiderocol 1g powder for solution for infusion vials,39002611000001100,solutioninfusion.intravenous,Reserve,Reserve
320,Cefixime,,False,Cefixime,775097009,Cefixime 100mg/5ml oral suspension,36134411000001101,suspension.oral,Watch,Watch
217,Cefixime,,False,Cefixime,775097009,Cefixime 200mg tablets,41943211000001104,tablet.oral,Watch,Watch
754,Cefixime,,False,Cefixime,775097009,Cefixime 400mg tablets,41943311000001107,tablet.oral,Watch,Watch
359,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 1g powder for solution for injection vials,41943411000001100,solutioninjection.intramuscular,Watch,Watch
360,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 1g powder for solution for injection vials,41943411000001100,solutioninjection.intravenous,Watch,Watch
361,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 1g powder for solution for injection vials,41943411000001100,solutioninfusion.intravenous,Watch,Watch
38,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 1g/50ml infusion bags,44009011000001100,solutioninfusion.intravenous,Watch,Watch
484,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 2g powder for solution for injection vials,4558311000001100,solutioninjection.intramuscular,Watch,Watch
485,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 2g powder for solution for injection vials,4558311000001100,solutioninjection.intravenous,Watch,Watch
486,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 2g powder for solution for injection vials,4558311000001100,solutioninfusion.intravenous,Watch,Watch
39,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 2g/100ml infusion bags,44007911000001108,solutioninfusion.intravenous,Watch,Watch
481,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 500mg powder for solution for injection vials,41943511000001101,solutioninjection.intramuscular,Watch,Watch
482,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 500mg powder for solution for injection vials,41943511000001101,solutioninjection.intravenous,Watch,Watch
483,Cefotaxime,,False,Cefotaxime,775103002,Cefotaxime 500mg powder for solution for injection vials,41943511000001101,solutioninfusion.intravenous,Watch,Watch
426,Cefoxitin,,False,Cefoxitin,775107001,Cefoxitin 1g powder for solution for injection vials,41943611000001102,solutioninjection.intravenous,Watch,Watch
427,Cefoxitin,,False,Cefoxitin,775107001,Cefoxitin 1g powder for solution for injection vials,41943611000001102,solutioninfusion.intravenous,Watch,Watch
428,Cefoxitin,,False,Cefoxitin,775107001,Cefoxitin 1g powder for solution for injection vials,41943611000001102,solutioninjection.intramuscular-deep,Watch,Watch
432,Cefoxitin,,False,Cefoxitin,775107001,Cefoxitin 2g powder for solution for injection vials,41943711000001106,solutioninjection.intravenous,Watch,Watch
433,Cefoxitin,,False,Cefoxitin,775107001,Cefoxitin 2g powder for solution for injection vials,41943711000001106,solutioninfusion.intravenous,Watch,Watch
434,Cefoxitin,,False,Cefoxitin,775107001,Cefoxitin 2g powder for solution for injection vials,41943711000001106,solutioninjection.intramuscular-deep,Watch,Watch
272,Cefradine,,False,Cefradine,775112000,Cefradine 1g powder for solution for injection vials,41944411000001102,solutioninjection.intramuscular,Watch,Access
273,Cefradine,,False,Cefradine,775112000,Cefradine 1g powder for solution for injection vials,41944411000001102,solutioninjection.intravenous,Watch,Access
274,Cefradine,,False,Cefradine,775112000,Cefradine 1g powder for solution for injection vials,41944411000001102,solutioninfusion.intravenous,Watch,Access
222,Cefradine,,False,Cefradine,775112000,Cefradine 250mg capsules,41944511000001103,capsule.oral,Watch,Access
326,Cefradine,,False,Cefradine,775112000,Cefradine 250mg/5ml oral solution,36134511000001102,solution.oral,Watch,Access
224,Cefradine,,False,Cefradine,775112000,Cefradine 500mg capsules,41944611000001104,capsule.oral,Watch,Access
275,Cefradine,,False,Cefradine,775112000,Cefradine 500mg powder for solution for injection vials,41944711000001108,solutioninjection.intramuscular,Watch,Access
276,Cefradine,,False,Cefradine,775112000,Cefradine 500mg powder for solution for injection vials,41944711000001108,solutioninjection.intravenous,Watch,Access
277,Cefradine,,False,Cefradine,775112000,Cefradine 500mg powder for solution for injection vials,41944711000001108,solutioninfusion.intravenous,Watch,Access
129,Ceftaroline fosamil,,False,Ceftaroline fosamil,21387311000001104,Ceftaroline fosamil 600mg powder for solution for infusion vials,21386911000001101,solutioninfusion.intravenous,Reserve,Reserve
353,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 1g powder for solution for injection vials,41944811000001100,solutioninjection.intravenous,Watch,Watch
354,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 1g powder for solution for injection vials,41944811000001100,solutioninfusion.intravenous,Watch,Watch
355,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 1g powder for solution for injection vials,41944811000001100,solutioninjection.intramuscular-deep,Watch,Watch
117,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 1g/25ml solution for infusion pre-filled syringes,22098511000001105,solutioninfusion.intravenous,Watch,Watch
116,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 1g/50ml infusion bags,22097911000001104,solutioninfusion.intravenous,Watch,Watch
109,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 1g/50ml solution for infusion pre-filled injection devices,22455011000001109,solutioninfusion.intravenous,Watch,Watch
418,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 250mg powder for solution for injection vials,41944911000001105,solutioninjection.intravenous,Watch,Watch
419,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 250mg powder for solution for injection vials,41944911000001105,solutioninjection.intramuscular-deep,Watch,Watch
170,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 2g intravenous infusion vials,323856006,solutioninfusion.intravenous,Watch,Watch
423,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 2g powder for solution for injection vials,41945011000001105,solutioninjection.intravenous,Watch,Watch
424,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 2g powder for solution for injection vials,41945011000001105,solutioninfusion.intravenous,Watch,Watch
425,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 2g powder for solution for injection vials,41945011000001105,solutioninjection.intramuscular-deep,Watch,Watch
48,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 2mg/0.1ml solution for injection pre-filled syringes,40558111000001101,solutioninjection.intravitreal,Watch,Watch
429,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 3g powder for solution for injection vials,41945111000001106,solutioninjection.intravenous,Watch,Watch
430,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 3g powder for solution for injection vials,41945111000001106,solutioninfusion.intravenous,Watch,Watch
431,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 3g powder for solution for injection vials,41945111000001106,solutioninjection.intramuscular-deep,Watch,Watch
139,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 5% eye drops preservative free,21230911000001100,solution.ophthalmic,Watch,Watch
420,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 500mg powder for solution for injection vials,41945211000001100,solutioninjection.intravenous,Watch,Watch
421,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 500mg powder for solution for injection vials,41945211000001100,solutioninfusion.intravenous,Watch,Watch
422,Ceftazidime,,False,Ceftazidime,775115003,Ceftazidime 500mg powder for solution for injection vials,41945211000001100,solutioninjection.intramuscular-deep,Watch,Watch
86,Ceftazidime + Avibactam,,True,Ceftazidime + Avibactam,781300005,Ceftazidime 2g / Avibactam 500mg powder for solution for infusion vials,34179911000001103,solutioninfusion.intravenous,Reserve,Reserve
89,Ceftobiprole,,False,Ceftobiprole,1287090001,Ceftobiprole 500mg powder for solution for infusion vials,31008911000001103,solutioninfusion.intravenous,Reserve,Reserve
90,Ceftolozane + Tazobactam,,True,Ceftolozane + Tazobactam,775119009,Ceftolozane 1g / Tazobactam 500mg powder for solution for infusion vials,31007811000001109,solutioninfusion.intravenous,Reserve,Reserve
364,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 1g powder for solution for injection vials,41945311000001108,solutioninjection.intravenous,Watch,Watch
365,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 1g powder for solution for injection vials,41945311000001108,solutioninfusion.intravenous,Watch,Watch
366,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 1g powder for solution for injection vials,41945311000001108,solutioninjection.intramuscular-deep,Watch,Watch
113,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 1g/50ml infusion bags,22102411000001102,solutioninfusion.intravenous,Watch,Watch
444,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 250mg powder for solution for injection vials,41945511000001102,solutioninjection.intravenous,Watch,Watch
445,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 250mg powder for solution for injection vials,41945511000001102,solutioninfusion.intravenous,Watch,Watch
446,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 250mg powder for solution for injection vials,41945511000001102,solutioninjection.intramuscular-deep,Watch,Watch
101,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for infusion vials,23107411000001109,solutioninjection.intravenous,Watch,Watch
102,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for infusion vials,23107411000001109,solutioninfusion.intravenous,Watch,Watch
103,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for infusion vials,23107411000001109,solutioninjection.intramuscular-deep,Watch,Watch
447,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for injection vials,41945611000001103,solutioninjection.intravenous,Watch,Watch
448,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for injection vials,41945611000001103,solutioninfusion.intravenous,Watch,Watch
449,Ceftriaxone,,False,Ceftriaxone,775120003,Ceftriaxone 2g powder for solution for injection vials,41945611000001103,solutioninjection.intramuscular-deep,Watch,Watch
478,Cefuroxime,,False,Cefuroxime,775121004,Cefuroxime 1.5g powder for solution for injection vials,4557611000001106,solutioninjection.intravenous,Watch,Watch
479,Cefuroxime,,False,Cefuroxime,775121004,Cefuroxime 1.5g powder for solution for injection vials,4557611000001106,suspensioninjection.intramuscular,Watch,Watch
480,Cefuroxime,,False,Cefuroxime,775121004,Cefuroxime 1.5g powder for solution for injection vials,4557611000001106,solutioninfusion.intravenous,Watch,Watch
98,Cefuroxime,,False,Cefuroxime,775121004,Cefuroxime 1.5g/100ml infusion bags,23683311000001109,solutioninfusion.intravenous,Watch,Watch
96,Cefuroxime,,False,Cefuroxime,775121004,Cefuroxime 1.5g/50ml infusion bags,35893011000001107,solutioninfusion.intravenous,Watch,Watch
323,Cefuroxime,,False,Cefuroxime,775121004,Cefuroxime 125mg granules for oral suspension sachets,41945711000001107,suspension.oral,Watch,Watch
